Poem Name,Poem Content
To be the thing,"To be the name uttered, but not to have the burden to be
To be the name said, but not heard
To not breathe anymore, to be the thing
To be the thing being breathed
To not be about to die, to be already dead
To not have to disappoint
To not have the burden of being late
Or punctual
To not eat, to not have to eat
To not feel anything
To not be the one whose affect is criticized
To not pick up the fallen over boxes
To be everywhere but the boxes or plates
To not break the plates
To be beyond breaking
To have been broken 
To not bear the burden of not being present
To not have to feel the pain of being hurt
To have transferred that pain over
So that hurt is only part of the imagination
And the imagination is everywhere, is every color
To not contain color, to be color
To not make sound, to be sound
To not have language, to echo, to plan language
To be the stream of words
To not be sad for
To not have those to be sad for
To not eat alone
To not fuck those who do not find your corpse attractive
To not fuck
Or stuff
To be ashes and non-placed
Not displaced, but to not be in any place
To enter the ocean on not a whim, but a physical force
Where there is no center
Where there is no safety
There never was
There was never any anger
There was never anything to look at
I never looked at anything
I just went and walked
I tried to love
But love is hopeless
And I have lost all hope, so bleak I am beyond
I am beyond what might be considered low
There is low nor high, space or time, I have 
Gone away from that which is uttered
I have not burdened to be spoken of or spoken for
To croak everyday to the livelong bog
I do not speak a thing
I exist
No, no I don't
I never did
And you may have
But I never did 
And you may have called out for me
But I was already gone
And I am already there
That which you speak of
I am already spoken for
In a world of light and ashes
They all call my name
They have waited for me
And now I know
I was always
Already there 
With them"
Why I Am Afraid of Turning the Page,"Spokes, spooks: your tinsel hair weaves the wheel
that streams through my dreams of battle. Another
apocalypse, and your weird blondeness cycling in
and out of the march: down in a bunker, we hunker,
can hear the boots from miles off clop. We tend to
our flowers in the meantime. And in the meantime,
a daughter is born. She begins as a mere inch, lost
in the folds of a sheet; it's horror to lose her before
she's yet born. Night nurses embody the darkness.
Only your brain remains, floating in a jar that sits
in a lab far off, some place away, and terribly far.
Your skull no longer exists, its ash has been lifted
to wind from a mountain's top by brothers, friends.
I am no friend. According to them. Accordion, the
child pulls its witching wind between its opposite
handles: the lungs of the thing grieve, and that is
its noise. She writhes the floor in tantrum. When
you climbed the sides of the house spider-wise to
let yourself in, unlocked the front door, let me in
to climb up into your attic the last time I saw you
that infected cat rubbed its face against my hand.
Wanting to keep it. No, you said. We are friends.
I wear my green jacket with the furred hood. You
pushed me against chain-length. Today is the day
that the planet circles the night we began. A child
is born. Night nurses coagulate her glassed-in crib.
Your organs, distant, still float the darkness of jars."
Autumn,"They brought me a quilled, yellow dahlia,
Opulent, flaunting.
Round gold
Flung out of a pale green stalk.
Round, ripe gold
Of maturity,
Meticulously frilled and flaming,
A fire-ball of proclamation:
Fecundity decked in staring yellow
For all the world to see.
They brought a quilled, yellow dahlia,
To me who am barren
Shall I send it to you,
You who have taken with you
All I once possessed?"
Woman Waving to Trees,"Not that anyone would
notice it at first.
I have taken to marveling
at the trees in our park.
One thing I can tell you:
they are beautiful
and they know it.
They are also tired,
hundreds of years
stuck in one spot—
beautiful paralytics.
When I am under them,
they feel my gaze,
watch me wave my foolish
hand, and envy the joy
of being a moving target.

Loungers on the benches
begin to notice.
One to another,
""Well, you see all kinds...""
Most of them sit looking
down at nothing as if there
was truly nothing else to
look at until there is
that woman waving up
to the branching boughs
of these old trees. Raise your
heads, pals, look high,
you may see more than
you ever thought possible,
up where something might
be waving back, to tell her
she has seen the marvelous."
Coming to That,"""If it comes to that,"" he said, ""there'll be no
preventing it.""
He uttered it as I listened. Had I got it right,
hearing him?
""If it comes to that,"" is what he said, and,
as if talking
to himself, went on about how there'd be no
preventing it.
He came to that conclusion, saying it in a
slow way of
coming to that, whatever that was it might
come to before
not being prevented—and as if such a thing
were for him
the unthinkable, and would prevail, if it
came to that.

And while listening more closely now to
what he said,
I realized if no one paid him heed, it would
be as if he
hadn't said it—if it came to that— and would
then not be 
prevented from falling to forces known to 
care little for
what he said, even if they heard it, their
being wily
and forceful enough to make sure it would
come to that."
"Artist, Once","That was in a room for rent.
It had a window and a bed,

it was enough for dreaming,
for stunning facts like being

at last, and undeniably
in NYC, enough to hold

enfolded as in a pregnancy,
those not-yet-painted works

to be. They, hanging fire,
slow to come—to come

out—being deep inside her,
oozing metamorphosis

in her warm dark, took
their time and promised.

Fast forward. Trapped in now,
she's not all that sure.

Compared to what entwined
her mind before the test,

before the raw achievement
pat, secure—oh, such bounty

to be lived, yet untasted,
undefined—all the rest..."
Zero,"Now that legal tender has
              lost its tenderness,
and its very legality
          is so often in question,
it may be time to consider
the zero—
          long rows of them,
    empty, black circles in clumps
                          of three,
presided over by a numeral
                       or two.
Admired, even revered,
these zeros
          of imaginary money
capture
   the open gaze of innocents

like a vision of earthly paradise.

Now the zero has
a new name:
               The Economy.

As for that earthly
                paradise—well..."
Artspeak,"If Art would only talk it would, at last, reveal
itself for what it is, what we all burn to know.

As for our certainties, it would fetch a dry yawn
then take a minute to sweep them under the rug:

certainties time-honored as meaningless as dust
under the rug. High time, my dears, to listen up.

Finally Art would talk, fill the sky like a mouth,
clear its convulsive throat while flashes and crashes

erupted as it spoke—a star-shot avalanche of
visions in uproar, drowned by the breathy din

of soundbites as we strain to hear its august words:
""a b c d e f g h i j k l m n o p q r s t u v w x y z."""
Garden of Bees,"The narcissus grows past

the towers. Eight gypsy

sisters spread their wings

in the garden. Their gold teeth

are unnerving. Every single

baby is asleep. They want

a little money and I give

them less. I'm charming and

handsome. They take my pen.

I buy the poem from the garden

of bees for one euro. A touch

on the arm. A mystery word.

The sky has two faces.

For reasons unaccountable

my hand trembles.

In Roman times if they were

horrified of bees they kept it secret"
Flesh,"Hooves were forbidden, but she fed us                  

stringy liver, thick tongue, gray kishkes       

crammed with something soft. She had a bulb          

of garlic, a handful of salt, some wretched carrots.       

Drew out blood with salt, clamped her grinder 

and fed chunks into it and forced them down.        

She let me turn the crank, and red worms       

fell to the bowl. I ate according to the Law              

and the cow's flesh became my flesh.       

Now I lower my head to eat, moan when I wake  

from the fear dream, the one where we shove   

one another down the ramp toward the violent 

stench and the boy's knife. He lifts his arm

in a rhythm I've always known."
Flesh,"Hooves were forbidden, but she fed us                  

stringy liver, thick tongue, gray kishkes       

crammed with something soft. She had a bulb          

of garlic, a handful of salt, some wretched carrots.       

Drew out blood with salt, clamped her grinder 

and fed chunks into it and forced them down.        

She let me turn the crank, and red worms       

fell to the bowl. I ate according to the Law              

and the cow's flesh became my flesh.       

Now I lower my head to eat, moan when I wake  

from the fear dream, the one where we shove   

one another down the ramp toward the violent 

stench and the boy's knife. He lifts his arm

in a rhythm I've always known."
playing with fire,"something is always burning, passion,
                        pride, envy, desire, the internal organs
        going chokingly up in smoke, as some-
                thing outside the body exerts a pull
that drags us like a match across sand-
                        paper. something is always burning,
        london, paris, detroit, l.a., the neighbor-
                hoods no one outside seems to see until
they're backlit by flames, when the out-
                        siders, peering through dense, acrid,
        black-&-orange-rimmed fumes, mis-
                take their dark reflections for savages
altogether alien. how hot are the london
                        riots for west end pearls? how hot in tot-
        tenham? if one bead of cream rolls down
        one precious neck, heads will roll in brix-
ton: the science of sociology. the mark
                        duggan principle of cause and effect:
        under conditions of sufficient pressure—
                measured roughly in years + lead ÷ £s—
black blood is highly combustible."
Ghost Story,"for matthew z and matthew r
I remember telling the joke
about child molestation and seeing
the face of the young man
I didn't know well enough 
turn from something with light
inside of it into something like
an animal that's had its brain
bashed in, something like that, some
sky inside him breaking 
all over the table and the beers.
It's amazing, finding out
my thoughtlessness has no bounds,
is no match for any barbarian, 
that it runs wild and hard
like the Mississippi. No, the Rio Grande.
No, the Columbia. A great river
of thorns and when this stranger
stood up and muttered
something about a cigarette, 
the Hazmat team 
in my chest begins to cordon 
off my heart, glowing
a toxic yellow, 
and all I could think about
was the punch line ""sexy kids,""
that was it, ""sexy kids,"" and all the children
I've cared for, wiping
their noses, rocking them to sleep,
all the nieces and nephews I love, 
and how no one ever 
opened me up like a can of soup
in the second grade, the man
now standing on the sidewalk, smoke smothering
his body, a ghost unable 
to hold his wrists down 
or make a sound like a large knee in between 
two small knees, but terrifying and horrible all the same."
A Story About Dying,"The old cat was dying in the bushes.
Its breaths came slow, slow, 
                                          and still
it looked out over the sweetness of the back lawn,
the swaying of tall grass in the hot wind,
the way sunlight warmed the garbage can's 
sparkling lid.  
                   It closed its hot eyes, 
then struggled them open again.

+

In unison, the dogs explained themselves
to the passing freight train.

+

I don't know where it's gone, 
her husband said without looking up from his paper

while she stood on the back porch shaking the food bowl,
calling one of its names.   

+

All this the dying old cat observed 
from beneath the bushes, its head
sideways in the grass, its fur wet where the dog
had caught it in its teeth.

+

And now there's another train, 
and the dogs are explaining themselves again.  

+

The food makes that sparkling sound in the metal bowl 
and the cat tries to lift its body from the grass

but it's feeling hollowed out, empty and strange
as though it's floating just above the tips of grass, 
as if its paws barely touch the blades' rich points.

+

Sometimes, the dogs explain themselves to each other, 
or to passing cars, but mostly they address the trains.
We are powerful dogs, they say,
                                            but we are also good,
while the children on bikes, while the joggers, 
while the vast, mysterious trains 
                                              pass them by.

+

The cat is still drifting above the grass tips,
and the sun is so bright the yard sparkles,

and wouldn't it be nice to rest there on the garbage can's hot lid, 
there by the potted plant, there on the car's hood?

But it wants the food glittering in the metal bowl,
the food that, also, drifts above the grass tips.

+

And then the cat floats down the tracks, 
the train's long call a whistling in its head.

+

And the dogs explain themselves to it,
we are good dogs, good dogs, 
                                        as the cat grows
impossibly far away, we are good dogs, 
as the cat is almost a memory, 
   
is barely a taste in the mouth 
of one of the chorus."
Who Is God? So Asked Our Dog,"How many seasons are there?
Where was God born?
How many stars?
Who discovered every single one of the Americas and all of the other places?
Do some dwarves live in caves?
Is your mother singing in church tonight?
Is your father setting his hat on his head?
Do those goldfish belong to you?
Why did their God rise from the dead?
Could it be because of a forgotten pencil?
Do you like to study history?
Is this your book?
Where does cotton grow?
Why did the Holy Family go to Egypt. What is the Holy Family?
Do you see frightened ghosts on the streets sometimes?
I see the dog in your eye.
How would you like this to end?
Gone was a dog off to where a dog wants to go.
Who needed some help from old friends?
Do you see the question mark at the end of this sentence?
Somewhat maligned Pandora remains a curious person.

Photo of Dara Wier, James Tate, Guy Pettit & Emily Pettit's beloved Scottie. She goes by Maggie, Maggy, and Magpie, variously, and is ""responsible for this poem."""
The Marble Faun,"A tiny face of genius & tolerance
brands itself organic
abrupt vampire of himself, of health,
stoned circle of having risen—
 
Why the natural inclination to pet,
to be affection with a soul made of bone
on haunches among honeysuckle
and little else to dine upon?
 
I wasn't able to claim the backs
of my legs, and for that crime, was martyred
for modern day races.
From these trials, I learned to be true
to truths that hugged and lost and slew.
 
Not what makes my liver stand on end
but how to shake fists against the failings
of insects, of lambs, of castles and the fruits
of shadows that walk with us behind our backs,
swampy corners of decay united. 
 
From old Jewish towns we embrace
the plotted demise and welcome a ghost
in born-again tatters, being all that we know
and the only face that matters.  Except
a child from the lawn who watches, in stone.
 
We become as ripe as an earth's waiting meat,
better for sculpting to crumble
a rib-eyed dust spelling death out,
names that soften at moon, broken to rise again.

Amy King holding Wolfgang and Ana Božičević holding Walt Whitman"
The Backyard Mermaid,"The Backyard Mermaid slumps across the birdbath, tired of fighting birds for seeds and lard. She hates those fluffed-up feathery fish imitations, but her hatred of the cat goes fathoms deeper. That beast is always twining about her tail, looking to take a little nip of what it considers a giant fish. Its breath smells of possible friends. She collects every baseball or tennis ball that flies into her domain to throw at the creature, but it advances undeterred, even purring. To add further insult to injury it has a proper name, Furball, stamped on a silver tag on its collar. She didn’t even know she had a name until one day she heard the human explaining to another one, “Oh that’s just the backyard mermaid.” Backyard Mermaid she murmured, as if in prayer. On days when there’s no sprinkler to comb through her curls, no rain pouring in glorious torrents from the gutters, no dew in the grass for her to nuzzle with her nose, not even a mud puddle in the kiddie pool, she wonders how much longer she can bear this life. The front yard thud of the newspaper every morning. Singing songs to the unresponsive push mower in the garage. Wriggling under fence after fence to reach the house four down which has an aquarium in the back window. She wants to get lost in that sad glowing square of blue. Don’t you?"
for yam sir: elevated blues,"This poem is from a longer work, written in dedication to Abraham Smith's canine companion, Rodney.
probably the heat in the bama walMART parkin lot 
curls the edges of the masking taped penciled on 
a half crapped crate baby RODNEY stretchy snow legs 
and sweet potato continent blotches down 
his back LOST aka abandoned 
as the hoarder's drawers of one rub off 'em 
or three hotel motel soaps quiet lost sweeeeet  
consonance that he was what i am saying 
abused  a u e less not sure if the colorless dust 
of town on a town BOOT or iff red clay heavy cough 
on the wheel wells of a grrr TRUCK man 
fat he does not love maybe asleep 
when he goes WahOOF it's a buffet style he's 
in the aisles snake-biting every gristle yawner high on Dew
very un-berry slapper of the back of a kid's head i know at WALfart  
he would drop every awful eater of a kid's toy dream if he COULD 
nice though this snow grandma
she's old but she does not complain 
in her head she's young she's agreed 
to blow up the birthday balloons in this pic 
rodney is balloon being lung prized  
by new old grandma snow who has seen it all but has grace not class lives 
days in a day ooh surprised and weeeeeeeee 
WE agree he's cloud weave with winter brush brown 
with that sense of sweet rush and sweet sleep  
happy yes dropping pumpkins on the seine maybe 
any river nothing ever HURT or broken again 
YAM is irked by hawks so vanilla tapioca plus yam equals HAWKS no no? 
like little spat wrecked broke ladders up there on sky 
he does that liberator quIxote  
of that hawk squid on high  angel net sounder?
protector of the fair soft prawn field mouse  
or say purgatory worrier warrior I just know THEY never 
not even into the punky pines skate or sink 
when HE is bounding 
hey he's ablution quencher he's piggy WALmm biterrr
mr presh mr ipod rod mr rodeo 
mr yam man mr roodle strudel mr dip 
thee in the pond and try and drink 
while you swim  cack cack  hey he's 
coughing he got a little pond in 
his lung he's fine yam yond spondee lap sun 
yeep yeep and woof woo whoa uhoh buzzard you too 
best go tilt tilt over some other open country 
and CAME  THE  tornado like a thumbprint 
of a nobody dream of weird wolf water 
water left laying in a U of a pipe how it'll 
weird fast with fasted black grey  and CAME The tornado 
bad water thumbprint checking the melon's coats 
to this revolving numberless anti-perfume keen 
windows bursted SEEDS of glass if you went to planting pane crap  
how many lost pet grow out of that fire ant dirt
how many wind thrown collars jingle 
in the pines like the bone in bum coin  
he's a bathtub fellar in thunder he's a nervous 
mervis in a storm he's an under bed hider 
he's learning today to gradual 
gradually graduate back out light from under bed 
tho every dog does need a den
some close space to do the deepest dreaming in 
maybe his grandpapa was a hammock full of the farthest thing from schemes  
maybe the cloudy brushy two he lunged from 
wore a bed shape maybe the beds up there in high light 
never did squeak maybe if they did peep spring cry out it was the peat 
of a pert chipmunk hiving in a dust hole 
or a bluecoat angel squirrel roD will adjust 
your back for you tugging the leash 
in shocked joy atonal squeal astonish   
as the newness of a smaller runner brings him back 
to wonderful   here's a happy   to run 
towards not away is to smile 
of brush and of snow here's round blotty pine 
he's turned his cinnamon back on 
so you know don't we? on
every sappy sticky limb 
sinks a hawk 
mouse beak unmoused 
and i quote  damn yam cop grrr the hawk collective  
leaving a little purple grr burp out into the light
the walmarts turn toadstools toads are dining on 
with a lobster bib eructated of toadstools 
oho they are eating themselves  
oho the sky for once uncast in wing  
love you Roodle let's go tin-
tern that abbey walk it 
reel  rite  ripe  rise   rolling  'gain

Abraham Smith's dog, Rodney"
The Day I Saw Barack Obama Reading Derek Walcott’s Collected Poems,"Was he looking for St. Lucia’s light
to touch his face those first days 
in the official November snow & sleet 
falling on the granite pose of Lincoln?
 
If he were searching for property lines
drawn in the blood, or for a hint
of resolve crisscrossing a border,
maybe he’d find clues in the taste of breadfruit.
 
I could see him stopped there squinting
in crooked light, the haze of Wall Street
touching clouds of double consciousness,
an eye etched into a sign borrowed from Egypt.

If he’s looking for tips on basketball,
how to rise up & guard the hoop,
he may glean a few theories about war   
but they aren’t in The Star-Apple Kingdom.

If he wants to finally master himself,
searching for clues to govern seagulls
in salty air, he’ll find henchmen busy with locks
& chains in a ghost schooner's nocturnal calm.

He’s reading someone who won’t speak
of milk & honey, but of looking ahead
beyond pillars of salt raised in a dream
where fat bulbs split open the earth.

The spine of the manifest was broken,
leaking deeds, songs & testaments.
Justice stood in the shoes of mercy,
& doubt was bandaged up & put to bed.

Now, he looks as if he wants to eat words,
their sweet, intoxicating flavor. Banana leaf
& animal, being & nonbeing. In fact, 
craving wisdom, he bites into memory.  

The President of the United States of America
thumbs the pages slowly, moving from reverie
to reverie, learning why one envies the octopus
for its ink, how a man’s skin becomes the final page."
Year of the Amateur,"        Recall the frontier when the business 
of memory booms, when broadbands uncoil 
        and clouds swell with sticky portals, amassing 
        to a monsoon of live-streams. 
        Burn your chattel to keep the cloud afloat
so its tears can freeze to snow. 
        The voice flatlines in this season of pulp: 
The artist makes miniature churches out of drain pulp,
The Indonesian rainforest is pulped, 
the last illuminated gold leaves are pulped so we 
        gather and watch an otter nom nom 
sweet urchin to a pulp.  
We laugh softly."
Back in Seaside,"Rain interchangeable with
the walls it falls against
alphabetless like a neon
ring above an extincted
window showcasing something
formerly fabulous now
kinda poignantly disappeared.
I guess that means we're back
in Seaside (since we must
begin somewhere) and it's
probably summer but
can't be as long ago
as the date you suggest
since I wouldn't have been
born, or quietly gagging
at the sentence re: photographs
being ""fairly far removed"" from
sculpture anyway belied by
a euthanized block
of period tract housing
the loading dock's pair
of refrigerated trucks
the guileless curbs below
the blandishing panes
of all those plate windows
the corrugated doors
rolled shut against a
statement the curves
of the cars as they
throw back their throats
to the light the furtive
things people do in the night
(or don't do) bluely
compiled screen by screen
in perfervid surveillance
I just want to say yes
to you, yes and
watch this."
What Is an Epigram?,"What is an Epigram? A dwarfish whole,
Its body brevity, and wit its soul."
Underwoods: Epigram,"Of all my verse, like not a single line;   
But like my title, for it is not mine.   
That title from a better man I stole:   
Ah, how much better, had I stol'n the whole."
Epigram on Rough Roads,"I'm now arrived—thanks to the gods!—  
  Thro' pathways rough and muddy,  
A certain sign that makin roads  
  Is no this people's study:  
Altho' Im not wi' Scripture cram'd,         
  I'm sure the Bible says  
That heedless sinners shall be damn'd,  
  Unless they mend their ways."
The Patient,"I am patient. That is my mineral fact. 

         I have long term storage in double helixes

my two long polymers of nucleotides 

         my backbone made of sugars and phosphate groups 

joined by ester bonds. I see imagist pears dissolving down



golden arms I hear needle-less the sleep aid cd's

         real violins, then float blue-black 

at the eventide, injure

         of the taut to and fro, cut-back 

asphalt road, a path of greening twigs nourishing


nothing personal. Root stocks 

         of the best grapes, balm

for the honeybee's bite, lyme's flea—

         money chimes in the community bowl,

with patience I can sit on this bench


and wait for the ironworks of a previous century

         to reverse themselves, or I can lie in the grass,

vision the airplane's scatter-lit

         hallway, the descent 

only a little shaky

             like the trouble between art and life rolling you out

into an unpainted landscape,



the unbelted intoxication of travel    unstable as a chemical's twisted briar


medicine or drug    licit or illicit

                or afterimage

                time to move along

it's pathos time

        dodge a supreme fear

pathos—



                                        Patience was crowding anxiety

                              Patience's tired tongue was breaking a bone,



                                   while the twin and drone
                           to be patient with


hovered over 

our uncharted, rimless wants, 

rictus a slit vowel—




                                  La vida,
                                  a mess of dominoes
                                  face down.




I am a pilot light
                                 desiring more recognition,

                                 I suck grass
                                 to the dead inside.



The sleep aid cd & Hippocratic oath     mixed up good 

in the cocktail of my head    spoken into like commerce's cavity,

cavity or skylight    opening to the early spring blossoms

in the airless baggage claim


                                       SANCHEZ in stencil font
                                       stitched to my desert fatigues


holding luggage    looking for someone to pick me up 


I can be both
life-charged and dead
in consecutive units,



exited to like

turnpike rest stop's    promisingly lit 

pagoda, a respite    for the humans stopping and returning,

            the humans predicating,


a human is someone
who has wandered in from the desert.

I am patience in a substance clothed.

truly a creepy troll
truly a creepy troll

a human is the one 

continuing to close 
Christ's eyes
on the great crucifixes 

wagering will there    now be some inevitable progress.     In a tone pour,

the erotics of the electronics    swelling the house

and trailing to the sidewalk, 

        skip to sound

a harrowing to go, a darned patch

A soft fontanel
a warm harm
a human 

         does nothing 

unusual, forgetting the euphoria
of human potential

is human potential 

wanting more tools to form the mind. Rest, stop, a human is go

stopping and returning,

a practice    a human is someone

to pick you up
a human is someone to hone
in a human's 

long-held desire to vanish in a crowd or x-ed 

out void of others,
in mass human's estranging light."
Marriage,"So different, this man
And this woman:
A stream flowing 
In a field."
