Poem Name,Poem Content,jist
Dream Variations,"To fling my arms wide
In some place of the sun,
To whirl and to dance
Till the white day is done.
Then rest at cool evening
Beneath a tall tree
While night comes on gently,
    Dark like me—
That is my dream!
To fling my arms wide
In the face of the sun,
Dance! Whirl! Whirl!
Till the quick day is done.
Rest at pale evening . . .
A tall, slim tree . . .
Night coming tenderly
    Black like me.","""To fling my arms wide                In some place of the sun,                To whirl and to dance                Till the white day is done.                Then rest at cool evening                Beneath a tall tree                While night comes on gently                """
In the Waiting Room,"In Worcester, Massachusetts,
I went with Aunt Consuelo
to keep her dentist's appointment
and sat and waited for her
in the dentist's waiting room.
It was winter. It got dark
early. The waiting room
was full of grown-up people,
arctics and overcoats,
lamps and magazines.
My aunt was inside
what seemed like a long time
and while I waited I read
the National Geographic
(I could read) and carefully
studied the photographs:
the inside of a volcano,
black, and full of ashes;
then it was spilling over
in rivulets of fire.
Osa and Martin Johnson
dressed in riding breeches,
laced boots, and pith helmets.
A dead man slung on a pole
--""Long Pig,"" the caption said.
Babies with pointed heads
wound round and round with string;
black, naked women with necks
wound round and round with wire
like the necks of light bulbs.
Their breasts were horrifying.
I read it right straight through.
I was too shy to stop.
And then I looked at the cover:
the yellow margins, the date.
Suddenly, from inside,
came an oh! of pain
--Aunt Consuelo's voice--
not very loud or long.
I wasn't at all surprised;
even then I knew she was
a foolish, timid woman.
I might have been embarrassed,
but wasn't. What took me
completely by surprise
was that it was me:
my voice, in my mouth.
Without thinking at all
I was my foolish aunt,
I--we--were falling, falling,
our eyes glued to the cover
of the National Geographic,
February, 1918.
I said to myself: three days
and you'll be seven years old.
I was saying it to stop
the sensation of falling off
the round, turning world.
into cold, blue-black space.
But I felt: you are an I,
you are an Elizabeth,
you are one of them.
Why should you be one, too?
I scarcely dared to look
to see what it was I was.
I gave a sidelong glance
--I couldn't look any higher--
at shadowy gray knees,
trousers and skirts and boots
and different pairs of hands
lying under the lamps.
I knew that nothing stranger
had ever happened, that nothing
stranger could ever happen.
Why should I be my aunt,
or me, or anyone?
What similarities--
boots, hands, the family voice
I felt in my throat, or even
the National Geographic
and those awful hanging breasts--
held us all together
or made us all just one?
How--I didn't know any
word for it--how ""unlikely"". . .
How had I come to be here,
like them, and overhear
a cry of pain that could have
got loud and worse but hadn't?
The waiting room was bright
and too hot. It was sliding
beneath a big black wave,
another, and another.
Then I was back in it.
The War was on. Outside,
in Worcester, Massachusetts,
were night and slush and cold,
and it was still the fifth
of February, 1918.","In Worcester, Massachusetts, in February, 1918, Elizabeth was seven years old. She was with her aunt, Consuelo, at her dentist's appointment. While she waited, Elizabeth read the cover of the National Geographic. Suddenly, from inside, she heard her aunt's voice: ""Oh! of pain!"""
[The cry of the cicada],"The cry of the cicada
Gives us no sign
That presently it will die.
                                                  —Translation by William George Aston","The cry of the cicadaGives us no sign that presently it will die. — William George Aston, ""The Cicada"""
At the Zoo,"First I saw the white bear, then I saw the black;
Then I saw the camel with a hump upon his back;
Then I saw the grey wolf, with mutton in his maw;
Then I saw the wombat waddle in the straw;
Then I saw the elephant a-waving of his trunk;
Then I saw the monkeys—mercy, how unpleasantly they smelt!","""I saw the white bear, then I saw the black""; ""I saw a camel with a hump upon his back""; ""A grey wolf, with mutton in his maw;"" ""A wombat waddle in the straw""; ""An elephant a-waving of his trunk""; ""Monkeys"" ""mercy, how unpleasantly they smelt!"""
Dear March—Come in—(1320),"Dear March—Come in—
How glad I am—
I hoped for you before—
Put down your Hat—
You must have walked—
How out of Breath you are—
Dear March, how are you, and the Rest—
Did you leave Nature well—
Oh March, Come right upstairs with me—
I have so much to tell—
I got your Letter, and the Birds—
The Maples never knew that you were coming—
I declare - how Red their Faces grew—
But March, forgive me—
And all those Hills you left for me to Hue—
There was no Purple suitable—
You took it all with you—
Who knocks? That April—
Lock the Door—
I will not be pursued—
He stayed away a Year to call
When I am occupied—
But trifles look so trivial
As soon as you have come
That blame is just as dear as Praise
And Praise as mere as Blame—","""I hoped for you before. Dear March, how are you, and the Rest"" ""I declare - how Red their Faces grew"" ""Blame is just as dear as Praise"""
Haunted Houses,"All houses wherein men have lived and died
Are haunted houses. Through the open doors
The harmless phantoms on their errands glide,
With feet that make no sound upon the floors.
We meet them at the door-way, on the stair,
Along the passages they come and go,
Impalpable impressions on the air,
A sense of something moving to and fro.
There are more guests at table than the hosts
Invited; the illuminated hall
Is thronged with quiet, inoffensive ghosts,
As silent as the pictures on the wall.
The stranger at my fireside cannot see
The forms I see, nor hear the sounds I hear;
He but perceives what is; while unto me
All that has been is visible and clear.
We have no title-deeds to house or lands;
Owners and occupants of earlier dates
From graves forgotten stretch their dusty hands,
And hold in mortmain still their old estates.
The spirit-world around this world of sense
Floats like an atmosphere, and everywhere
Wafts through these earthly mists and vapours dense
A vital breath of more ethereal air.
Our little lives are kept in equipoise
By opposite attractions and desires;
The struggle of the instinct that enjoys,
And the more noble instinct that aspires.
These perturbations, this perpetual jar
Of earthly wants and aspirations high,
Come from the influence of an unseen star
An undiscovered planet in our sky.
And as the moon from some dark gate of cloud
Throws o’er the sea a floating bridge of light,
Across whose trembling planks our fancies crowd
Into the realm of mystery and night,—
So from the world of spirits there descends
A bridge of light, connecting it with this,
O'er whose unsteady floor, that sways and bends,
Wander our thoughts above the dark abyss.","All houses wherein men have lived and died are haunted houses. Through the open doors the harmless phantoms on their errands glide. The stranger at my fireside cannot see the forms I see, nor hear the sounds I hear."
The moon rose over the bay. I had a lot of feelings.,"I am taken with the hot animal
of my skin, grateful to swing my limbs
and have them move as I intend, though
my knee, though my shoulder, though something
is torn or tearing. Today, a dozen squid, dead
on the harbor beach: one mostly buried,
one with skin empty as a shell and hollow
feeling, and, though the tentacles look soft,
I do not touch them. I imagine they
were startled to find themselves in the sun.
I imagine the tide simply went out
without them. I imagine they cannot
feel the black flies charting the raised hills
of their eyes. I write my name in the sand:
Donika Kelly. I watch eighteen seagulls
skim the sandbar and lift low in the sky.
I pick up a pebble that looks like a green egg.
To the ditch lily I say I am in love.
To the Jeep parked haphazardly on the narrow
street I am in love. To the roses, white
petals rimmed brown, to the yellow lined
pavement, to the house trimmed in gold I am
in love. I shout with the rough calculus
of walking. Just let me find my way back,
let me move like a tide come in.","Donika Kelly writes about her love of the beach and the people around her. Kelly writes: ""I am taken with the hot animal                of my skin"""
Christmas Bells,"I heard the bells on Christmas Day
Their old, familiar carols play,
    And wild and sweet
    The words repeat
Of peace on earth, good-will to men!
And thought how, as the day had come,
The belfries of all Christendom
    Had rolled along
    The unbroken song
Of peace on earth, good-will to men!
Till ringing, singing on its way,
The world revolved from night to day,
    A voice, a chime,
    A chant sublime
Of peace on earth, good-will to men!
Then from each black, accursed mouth
The cannon thundered in the South,
    And with the sound
    The carols drowned
Of peace on earth, good-will to men!
It was as if an earthquake rent
The hearth-stones of a continent,
    And made forlorn
    The households born
Of peace on earth, good-will to men!
And in despair I bowed my head;
""There is no peace on earth,"" I said;
    ""For hate is strong,
    And mocks the song
Of peace on earth, good-will to men!""
Then pealed the bells more loud and deep:
""God is not dead, nor doth He sleep;
    The Wrong shall fail,
    The Right prevail,
With peace on earth, good-will to men.""","I heard the bells on Christmas Day and thought how, as the day had come, the belfries of all Christendom had rolled along with the unbroken song of peace on earth. The cannon thundered in the South and with the sound the carols drowned out the song."
Mr. Macklin’s Jack O’Lantern,"Mr. Macklin takes his knife 
And carves the yellow pumpkin face: 
Three holes bring eyes and nose to life, 
The mouth has thirteen teeth in place. 
Then Mr. Macklin just for fun 
Transfers the corn-cob pipe from his 
Wry mouth to Jack’s, and everyone 
Dies laughing! O what fun it is 
Till Mr. Macklin draws the shade 
And lights the candle in Jack’s skull. 
Then all the inside dark is made 
As spooky and as horrorful 
As Halloween, and creepy crawl 
The shadows on the tool-house floor, 
With Jack’s face dancing on the wall. 
O Mr. Macklin! where's the door?","Mr. Macklin takes his knife  and carves the yellow pumpkin face:                 Three holes bring eyes and nose to life,                 The mouth has thirteen teeth in place."
One Sister have I in our house (14),"One Sister have I in our house - 
And one a hedge away. 
There's only one recorded, 
But both belong to me. 
  
One came the way that I came -         
And wore my past year's gown - 
The other as a bird her nest, 
Builded our hearts among. 
  
She did not sing as we did - 
It was a different tune -     
Herself to her a Music 
As Bumble-bee of June. 
  
Today is far from Childhood -
But up and down the hills 
I held her hand the tighter -         
Which shortened all the miles - 
  
And still her hum 
The years among, 
Deceives the Butterfly; 
Still in her Eye 
The Violets lie 
Mouldered this many May.         
  
I spilt the dew -
But took the morn, - 
I chose this single star 
From out the wide night's numbers - 
Sue - forevermore!","One came the way that I came. The other as a bird her nest,                 Builded our hearts among. One Sister have I in our house -                 And one a hedge away."
Thanksgiving Day,"Over the river, and through the wood,
  To grandfather's house we go;
       The horse knows the way
       To carry the sleigh
  Through the white and drifted snow.
Over the river, and through the wood—
  Oh, how the wind does blow!
       It stings the toes
       And bites the nose
  As over the ground we go.
Over the river, and through the wood,
  To have a first-rate play.
       Hear the bells ring
       ""Ting-a-ling-ding"",
  Hurrah for Thanksgiving Day!
Over the river, and through the wood
  Trot fast, my dapple-gray!
       Spring over the ground,
       Like a hunting-hound!
  For this is Thanksgiving Day.
Over the river, and through the wood,
  And straight through the barn-yard gate.
       We seem to go
       Extremely slow,—
  It is so hard to wait!
Over the river and through the wood—
  Now grandmother's cap I spy!
       Hurrah for the fun!
       Is the pudding done?
  Hurrah for the pumpkin-pie!",The poem was written in the early 20th century. It was written for a group of friends who were traveling on a sleigh on Thanksgiving Day.
Thanksgiving,"We walk on starry fields of white
   And do not see the daisies;
For blessings common in our sight
   We rarely offer praises.
We sigh for some supreme delight
   To crown our lives with splendor,
And quite ignore our daily store
   Of pleasures sweet and tender.
Our cares are bold and push their way
   Upon our thought and feeling.
They hand about us all the day,
   Our time from pleasure stealing.
So unobtrusive many a joy
   We pass by and forget it,
But worry strives to own our lives,
   And conquers if we let it.
There’s not a day in all the year
   But holds some hidden pleasure,
And looking back, joys oft appear
   To brim the past’s wide measure.
But blessings are like friends, I hold,
   Who love and labor near us.
We ought to raise our notes of praise
   While living hearts can hear us.
Full many a blessing wears the guise
   Of worry or of trouble;
Far-seeing is the soul, and wise,
   Who knows the mask is double.
But he who has the faith and strength
   To thank his God for sorrow
Has found a joy without alloy
   To gladden every morrow.
We ought to make the moments notes
   Of happy, glad Thanksgiving;
The hours and days a silent phrase
   Of music we are living.
And so the theme should swell and grow
   As weeks and months pass o’er us,
And rise sublime at this good time,
   A grand Thanksgiving chorus.",We walk on starry fields of white and do not see the daisies. We rarely offer praises. We sigh for some supreme delight. We ignore our daily store of pleasures sweet and tender.
For My People,"For my people everywhere singing their slave songs
     repeatedly: their dirges and their ditties and their blues 
     and jubilees, praying their prayers nightly to an
     unknown god, bending their knees humbly to an
     unseen power;
For my people lending their strength to the years, to the 
    gone years and the now years and the maybe years,
    washing ironing cooking scrubbing sewing mending
    hoeing plowing digging planting pruning patching
    dragging along never gaining never reaping never
    knowing and never understanding;
For my playmates in the clay and dust and sand of Alabama
    backyards playing baptizing and preaching and doctor
    and jail and soldier and school and mama and cooking
    and playhouse and concert and store and hair and Miss
    Choomby and company;
For the cramped bewildered years we went to school to learn 
    to know the reasons why and the answers to and the
    people who and the places where and the days when, in
    memory of the bitter hours when we discovered we
    were black and poor and small and different and nobody
    cared and nobody wondered and nobody understood;
For the boys and girls who grew in spite of these things to
    be man and woman, to laugh and dance and sing and
    play and drink their wine and religion and success, to
    marry their playmates and bear children and then die
    of consumption and anemia and lynching;
For my people thronging 47th Street in Chicago and Lenox
    Avenue in New York and Rampart Street in New
    Orleans, lost disinherited dispossessed and happy
    people filling the cabarets and taverns and other
    people’s pockets needing bread and shoes and milk and
    land and money and something—something all our own;
For my people walking blindly spreading joy, losing time
     being lazy, sleeping when hungry, shouting when
     burdened, drinking when hopeless, tied, and shackled
     and tangled among ourselves by the unseen creatures
     who tower over us omnisciently and laugh;
For my people blundering and groping and floundering in
     the dark of churches and schools and clubs and
     societies, associations and councils and committees and 
     conventions, distressed and disturbed and deceived and
     devoured by money-hungry glory-craving leeches,
     preyed on by facile force of state and fad and novelty, by
     false prophet and holy believer;
For my people standing staring trying to fashion a better way
    from confusion, from hypocrisy and misunderstanding,
    trying to fashion a world that will hold all the people,
    all the faces, all the adams and eves and their countless
    generations;
Let a new earth rise. Let another world be born. Let a
    bloody peace be written in the sky. Let a second
    generation full of courage issue forth; let a people
    loving freedom come to growth. Let a beauty full of
    healing and a strength of final clenching be the pulsing
    in our spirits and our blood. Let the martial songs
    be written, let the dirges disappear. Let a race of men now 
    rise and take control.","For my people everywhere singing their slave songs repeatedly: their dirges and their ditties and their blues. For the boys and girls who grew in spite of these things to be man and woman, to laugh and dance and sing and play and drink their wine and religion and success."
Vaccinated,"I once saw Jazell Barbie Royale
Do Whitney Houston so well
I got upset with myself for sneaking 
Past the cashier 
After having been patted down. Security frisks you 
For nothing. They don’t believe in trouble. They don’t 
Imagine a gun or a blade, though
Sometimes they make you walk all the way back 
To the car with the weed you didn’t tuck well.
No one’s at fault. That’s how they say it
Where I’m from. Everyone’s got a job. 
I should have paid. Our women
Need to perform for the tips they couldn’t earn
After the state shut down for good reason 
And too late. We lost so many friends. 
My buddy Janir swears 
He still can’t smell his lip balm. Our women need us 
To call them beautiful 
Because they are. They’ve done what they must
To prove it, and how often does any woman get
To hear the truth? Jazell is so pretty.
Whitney Houston is dead. No one wore a mask.
It wasn’t safe, so it wasn’t really free.
If you don’t watch me, I’ll get by you. I’ll take
What I’ve been missing. My mother says 
That’s not how she raised me. I spent 
A year and a half sure she’d die.
The women who lip sync for us could die.
People like to murder them, 
And almost everyone else wonders
If they should be dead. Who got dressed looking 
For safety today? Who got patted down?  My mother 
Says what we do is sin. But all we do 
Is party. Even when I’m broke, I can 
Entertain. You’re going to miss me some day. 
You’re going to forget the words to your favorite song. 
You’re going to miss me when I’m gone.","Where I’m from, everyone’s got a job. Our women need us to call them beautiful. They’ve done what they must to prove it. Jazell is so pretty. No one wore a mask."
"To the Virgins, to Make Much of Time","Gather ye rosebuds while ye may,
   Old Time is still a-flying;
And this same flower that smiles today
   Tomorrow will be dying.
The glorious lamp of heaven, the sun,
   The higher he's a-getting,
The sooner will his race be run,
   And nearer he's to setting.
That age is best which is the first,
   When youth and blood are warmer;
But being spent, the worse, and worst
   Times still succeed the former.
Then be not coy, but use your time,
   And while ye may, go marry;
For having lost but once your prime,
   You may forever tarry.","Gather ye rosebuds while ye may, may ye may. Old Time is still a-flying;. This same flower that smiles today will be dying."
Leda and the Swan,"A sudden blow: the great wings beating still
Above the staggering girl, her thighs caressed
By the dark webs, her nape caught in his bill,
He holds her helpless breast upon his breast.
How can those terrified vague fingers push
The feathered glory from her loosening thighs?
And how can body, laid in that white rush,
But feel the strange heart beating where it lies?
A shudder in the loins engenders there
The broken wall, the burning roof and tower
And Agamemnon dead.
                    Being so caught up,
So mastered by the brute blood of the air,
Did she put on his knowledge with his power
Before the indifferent beak could let her drop?","The story of Agamemnon, who was killed by a bird of prey. The story is told in the form of a series of short stories by the same name."
To make a prairie (1755),"To make a prairie it takes a clover and one bee,
One clover, and a bee.
And revery.
The revery alone will do,
If bees are few.","To make a prairie it takes a clover and one bee, one clover, and a bee. The revery alone will do, if bees are few."
A Christmas Carol,"In the bleak mid-winter
   Frosty wind made moan,
Earth stood hard as iron,
   Water like a stone;
Snow had fallen, snow on snow,
   Snow on snow,
In the bleak mid-winter 
   Long ago.

Our God, Heaven cannot hold Him
   Nor earth sustain;
Heaven and earth shall flee away
   When He comes to reign:
In the bleak midwinter
   A stable-place sufficed
The Lord God Almighty
   Jesus Christ.

Enough for Him, whom cherubim
   Worship night and day,
A breastful of milk
   And a mangerful of hay;
Enough for Him, whom angels
   Fall down before,
The ox and ass and camel
   Which adore.

Angels and archangels
   May have gathered there,
Cherubim and seraphim
   Thronged the air;
But only His mother
   In her maiden bliss
Worshipped the Beloved
   With a kiss.

What can I give Him,
   Poor as I am?
If I were a shepherd
   I would bring a lamb,
If I were a Wise Man
   I would do my part,—
Yet what I can I give Him,
   Give my heart.",In the bleak mid-winter a stable-place sufficed for the Lord God Almighty. A breastful of milk and a mangerful of hay was enough for Him.
Coherence in Consequence,"Imagine them in black, the morning heat losing within this day that floats. And always there is the being, and the not-seeing on their way to—
The days they approach and their sharpest aches will wrap experience until knowledge is translucent, the frost on which they find themselves slipping. Never mind the loose mindless grip of their forms reflected in the eye-watering hues of the surface, these two will survive in their capacity to meet, to hold the other beneath the plummeting, in the depths below each step full of avoidance. What they create will be held up, will resume: the appetite is bigger than joy. indestructible. for never was it independent from who they are. who will be.
Were we ever to arrive at knowing the other as the same pulsing compassion would break the most orthodox heart.","The days they approach and their sharpest aches will wrap experience until knowledge is translucent, the frost on which they find themselves slipping. Imagine them in black, the morning heat losing within this day that floats. And always there is the being, and the not-seeing on their way to—"
Let Them Not Say,"Let them not say:   we did not see it.
We saw.
Let them not say:   we did not hear it.
We heard.
Let them not say:     they did not taste it.
We ate, we trembled.
Let them not say:   it was not spoken, not written.
We spoke,
we witnessed with voices and hands.
Let them not say:     they did nothing.
We did not-enough.
Let them say, as they must say something: 
A kerosene beauty.
It burned.
Let them say we warmed ourselves by it,
read by its light, praised,
and it burned.
—2014","Let them not say:   we did not hear it. We heard. We saw. We ate, we trembled. We witnessed with voices and hands. We did not-enough."
